Date,Time,Season,HomeTeam,AwayTeam,HTHG,HTAG,FTR,Pregame_Prob_H,Pregame_Prob_D,Pregame_Prob_A
2018-03-11,,17-18,Maritimo,Setubal,3.0,0.0,H,0.48212087,0.27728358,0.24059561
2018-03-11,,17-18,Pacos Ferreira,Porto,1.0,0.0,H,0.09373511,0.12725542,0.7790094
2018-03-11,,17-18,Portimonense,Guimaraes,1.0,1.0,H,0.5092992,0.24225275,0.24844801
2018-03-12,,17-18,Chaves,Sp Lisbon,0.0,0.0,A,0.10878997,0.1444768,0.7467332
2018-03-16,,17-18,Setubal,Portimonense,1.0,1.0,D,0.38811603,0.32592282,0.28596112
2018-03-17,,17-18,Estoril,Pacos Ferreira,1.0,0.0,D,0.4394185,0.30888036,0.25170118
2018-03-17,,17-18,Feirense,Benfica,0.0,0.0,A,0.1050353,0.14986122,0.7451035
2018-03-17,,17-18,Porto,Boavista,1.0,0.0,H,0.82615316,0.08683558,0.087011255
2018-03-17,,17-18,Tondela,Maritimo,1.0,1.0,A,0.43818325,0.2599082,0.30190858
2018-03-18,,17-18,Chaves,Sp Braga,0.0,2.0,A,0.12572475,0.14468975,0.7295855
2018-03-18,,17-18,Guimaraes,Aves,1.0,1.0,H,0.55765927,0.24348027,0.19886048
2018-03-18,,17-18,Moreirense,Belenenses,1.0,0.0,H,0.4601471,0.29296815,0.24688475
2018-03-18,,17-18,Sp Lisbon,Rio Ave,1.0,0.0,H,0.8412887,0.096185416,0.06252594
2018-03-29,,17-18,Aves,Setubal,1.0,0.0,A,0.4469521,0.20746459,0.3455833
2018-03-30,,17-18,Boavista,Tondela,1.0,1.0,D,0.41692498,0.31478405,0.26829097
2018-03-30,,17-18,Maritimo,Feirense,0.0,0.0,H,0.4930845,0.25172412,0.25519136
2018-03-30,,17-18,Rio Ave,Estoril,2.0,0.0,H,0.5783694,0.23129131,0.1903393
2018-03-31,,17-18,Benfica,Guimaraes,1.0,0.0,H,0.8528254,0.09308468,0.05408998
2018-03-31,,17-18,Pacos Ferreira,Chaves,1.0,0.0,H,0.40539372,0.29831353,0.2962927
2018-03-31,,17-18,Portimonense,Moreirense,0.0,2.0,H,0.49154028,0.2687991,0.2396606
2018-03-31,,17-18,Sp Braga,Sp Lisbon,0.0,0.0,H,0.4242141,0.22472885,0.35105702
2018-04-02,,17-18,Belenenses,Porto,1.0,0.0,H,0.10592028,0.14379811,0.75028163
2018-04-06,,17-18,Guimaraes,Rio Ave,3.0,0.0,H,0.5251005,0.23615241,0.23874709
2018-04-07,,17-18,Estoril,Maritimo,1.0,0.0,D,0.3874746,0.2837686,0.32875687
2018-04-07,,17-18,Feirense,Sp Braga,0.0,1.0,D,0.12735705,0.16808397,0.70455897
2018-04-07,,17-18,Setubal,Benfica,1.0,1.0,A,0.09096431,0.13261966,0.77641606
2018-04-07,,17-18,Tondela,Portimonense,2.0,1.0,D,0.39338398,0.30676782,0.29984826
2018-04-08,,17-18,Chaves,Belenenses,0.0,0.0,D,0.41877833,0.31063157,0.2705901
2018-04-08,,17-18,Porto,Aves,2.0,0.0,H,0.8347828,0.08774263,0.077474594
2018-04-08,,17-18,Sp Lisbon,Pacos Ferreira,1.0,0.0,H,0.77992654,0.11824595,0.101827525
2018-04-09,,17-18,Moreirense,Boavista,0.0,0.0,H,0.4431054,0.26240873,0.2944859
2018-04-13,,17-18,Pacos Ferreira,Sp Braga,0.0,2.0,A,0.09887136,0.124163516,0.77696514
